species	time_lag	first_observed	griis_first_observed
Harmonia axyridis		2014	
Hasarius adansoni		2008	
Hawaiia minuscula		2019	
Hedera colchica		2008	
Hedera helix		2014	
Hedera hibernica	-12	2008	2020
Hedera maroccana	11	2021	2010
Hedlundia hybrida		2019	
Heleobia charruana		2019	
Helianthus decapetalus	4	2015	2011
Helianthus maximiliani	0	2019	2019
Helianthus salicifolius		2021	
Helichrysum italicum		2008	
Helichrysum petiolare		2008	
Heliconius hecale		2014	
Heliophanus kochii		2020	
Heliopsis helianthoides		2006	
Heliothrips haemorrhoidalis			2018
Heliotropium europaeum		2008	
Helleborus lividus	0	2011	2011
Helleborus orientalis		2009	
Hemerocallis fulva		2007	
Hemerocallis lilioasphodelus	-8	2010	2018
Hemidactylus turcicus		2021	
Hemigrapsus sanguineus		2008	
Heracleum sphondylium		2017	
Hercinothrips bicinctus			2018
Hercinothrips femoralis			2018
Hermetia illucens		2021	
Herniaria cinerea		2017	
Heterodon nasicus			2020
Heuchera micrantha		2009	
Heuchera sanguinea		2007	
Hexaplex cichoreum		2016	
Hexaplex trunculus		2019	
Hibiscus syriacus		2007	
Hieracium glaucinum		2018	
Hieracium pulmonarioides		2011	
Hierophis viridiflavus			2010
Himantoglossum robertianum	3	2017	2014
Himantopus mexicanus			2019
Hippodamia convergens			2018
Hippophae rhamnoides		2013	
Holodiscus discolor		2019	
Homarus americanus		2019	
Homoeogryllus reticulatus		2010	
Homotoma ficus		2018	
Hordeum murinum		2013	
Hordeum vulgare		2015	
Hornungia alpina	0	2013	2013
Hornungia petraea	0	2020	2020
Hornungia procumbens		2017	
Houttuynia cordata	2	2012	2010
Hydrangea arborescens		2013	
Hydrangea macrophylla	1	2014	2013
Hydrangea paniculata		2016	
Hydrocotyle sibthorpioides		2012	
Hydrocotyle verticillata		2013	
Hygromia cinctella		2009	
Hyla meridionalis	-5	2015	2020
Hylotelephium maximum		2017	
Hylotelephium spectabile	-4	2006	2010
Hymenoscyphus pseudoalbidus		2012	
Hyoscyamus albus		2008	
Hypania invalida		2015	
Hypericum calycinum		2008	
Hypericum densiflorum		2016	
Hypericum hidcoteense			2015
Hypericum hircinum		2017	
Hypericum olympicum	0	2014	2014
Hypolimnas bolina		2018	
Hypophthalmichthys molitrix		2009	
Hypophthalmichthys nobilis		2011	
Hypsopygia nostralis		2017	
Hyssopus officinalis		2006	
Ianiropsis serricaudis		2020	
Iberis pinnata		2020	
Iberodes linifolia		2015	
Icerya purchasi		2016	
Idiopterus nephrelepidis		2019	
Iguana iguana	4	2014	2010
Ilex aquifolium		2010	
Ilex crenata	-1	2011	2012
Ilex meserveae			2014
Impatiens balfourii		2008	
Impatiens capensis		2006	
Impatientinum asiaticum		2017	
Imperatoria ostruthium		2013	
Incarvillea delavayi		2016	
Inula racemosa		2006	
Ipheion uniflorum	2	2014	2012
Ipomoea coccinea		2007	
Ipomoea hederacea		2006	
Ipomoea lacunosa		2016	
Ipomoea leucantha		2009	
Ipomoea purpurea		2007	
Iris foetidissima		2010	
Iris pseudacorus		2013	
Iris pumila		2012	
Iris reticulata		2017	
Iris sibirica		2007	
Iris xiphium		2020	
Isatis tinctoria		2008	
Ischnura senegalensis	8	2021	2013
Isotrema durius		2014	
Jacobaea albescens			2019
Jacobaea maritima		2008	
Jacquemontia tamnifolia		2016	
Jaera istri		2017	
Jaltomata procumbens		2009	
Jasminum nudiflorum		2012	
Juglans ailanthifolia		2021	
Juglans cinerea	0	2012	2012
Juglans mandshurica	-2	2018	2020
Juglans nigra		2008	
Juncus dudleyi		2009	
Juncus ensifolius		2011	
Juncus foliosus		2010	
Juncus pallidus		2021	
Juncus striatus	5	2020	2015
Juncus tenuis		2012	
Juncus xiphioides	0	2016	2016
Junonia iphita		2018	
Kalanchoe blossfeldiana	0	2012	2012
Kalimeris incisa		2018	
Kalmia angustifolia		2010	
Karpatiosorbus latifolia		2013	
Kerria japonica		2008	
Kitaibelia vitifolia		2008	
Knautia macedonica	3	2014	2011
Kniphofia praecox	0	2015	2015
Koeleria glauca	0	2016	2016
Koelreuteria paniculata		2008	
Koenigia campanulata	0	2013	2013
Koenigia fennica			2014
Koenigia polystachya		2007	
Kolkwitzia amabilis	0	2012	2012
Kontikia ventrolineata			2016
Lacerta agilis			2017
Lachnagrostis filiformis		2013	
Lagarosiphon major		2006	
Lamium confertum			2018
Lamium orvala	6	2017	2011
Lamprocapnos spectabilis	0	2010	2010
Lampropeltis californiae		2017	
Lampropeltis getula		2014	
Lampropeltis triangulum	7	2017	2010
Lamprotornis chalybaeus		2007	
Lamprotornis nitens			2018
Lamprotornis purpureus		2006	
Lamprotornis splendidus	0	2018	2018
Lantana camara		2011	
Laonome calida			2014
Laonome xeprovala			2017
Laportea aestuans		2016	
Larix decidua			2017
Larosterna inca		2020	
Lasioderma serricorne		2010	
Lasius neglectus		2014	
Lathyrus heterophyllus	0	2011	2011
Lathyrus niger		2012	
Lathyrus odoratus		2008	
Lathyrus oleraceus		2010	
Lathyrus sativus		2017	
Lathyrus sylvestris		2016	
Lathyrus vernus		2020	
Latrodectus hasselti		2012	
Latrodectus hesperus			2013
Latrodectus mactans		2014	
Lauritrioza alacris		2009	
Laurus nobilis		2009	
Lavandula dentata		2006	
Lavandula stoechas		2009	
Lemna turionifera		2007	
Lentinula edodes	-11	2007	2018
Leonurus quinquelobatus		2014	
Lepidium bonariense		2012	
Lepidium draba		2019	
Lepidium heterophyllum		2019	
Lepidium latifolium		2021	
Lepidium perfoliatum		2012	
Lepidium sativum		2007	
Lepidium schinzii		2021	
Lepidotarphius perornatella		2011	
Lepinotus patruelis	-9	2009	2018
Lepinotus reticulatus			2018
Lepiota elaiophylla		2019	
Lepisma saccharina			2018
Leptinella dispersa		2016	
Leptinella squalida		2016	
Leptinotarsa decemlineata			2018
Leptoglossus occidentalis		2007	
Lepyrodiclis holosteoides		2010	
Leucanthemella serotina		2021	
Leucothrips nigripennis			2018
Levisticum officinale		2008	
Leycesteria formosa		2006	
Liatris spicata	0	2011	2011
Ligularia dentata	0	2010	2010
Ligularia przewalskii	2	2018	2016
Liguropia juniperi		2016	
Ligustrum sinense		2007	
Ligustrum vicaryi			2011
Lilium hollandicum	0	2016	2016
Lilium martagon		2009	
Limnanthes douglasii		2013	
Limnobium laevigatum	0	2013	2013
Limnodrilus maumeensis			2014
Limnomysis benedeni		2009	
Limonium gerberi		2020	
Limonium sinuatum		2018	
Linaria maroccana		2009	
Linaria purpurea		2006	
Linaria simplex		2013	
Linaria supina		2006	
Linaria triornithophora		2019	
Linepithema humile		2009	
Linum austriacum		2007	
Linum grandiflorum		2013	
Liposcelis bostrychophila			2018
Liposcelis brunnea			2018
Liposcelis paeta			2018
Liquidambar styraciflua		2007	
Liriope muscari	0	2015	2015
Lithotoma axillaris		2017	
Lobelia pedunculata		2013	
Lobelia siphilitica		2009	
Lolium persicum		2012	
Lolium rigidum		2009	
Lomelosia caucasica		2020	
Lomelosia stellata	0	2017	2017
Lonchura oryzivora		2014	
Lonchura punctulata			2016
Lonchura striata		2020	
Lonicera acuminata		2009	
Lonicera caprifolium		2010	
Lonicera chrysantha	0	2012	2012
Lonicera etrusca		2018	
Lonicera involucrata	4	2018	2014
Lonicera japonica		2006	
Lonicera maackii	0	2015	2015
Lonicera morrowii	0	2010	2010
Lonicera pileata		2006	
Lonicera sempervirens		2017	
Lonicera tatarica		2010	
Lophodytes cucullatus			2011
Lophophorus impejanus		2020	
Lophura leucomelanos	0	2012	2012
Lotus corniculatus		2006	
Lotus hispidus	0	2019	2019
Lotus tetragonolobus		2021	
Ludwigia peploides		2006	
Lupinus albus		2016	
Luzula nivea	2	2015	2013
Lybius dubius		2020	
Lycium chinense		2011	
Lycodon capucinus			2013
Lycopsis arvensis		2019	
Lyctus cavicollis		2021	
Lysichiton americanus		2011	
Lysichiton camtschatcensis		2020	
Lysimachia clethroides		2015	
Lysimachia fortunei	0	2016	2016
Lythrum junceum		2006	
Lythrum virgatum		2021	
Macleaya cordata		2006	
Macomopsis melo		2021	
Macropsis vicina		2017	
Macropus rufogriseus		2017	
Mahonia bealei		2020	
Maianthemum dilatatum			2013
Maianthemum stellatum	0	2016	2016
Malacorhynchus membranaceus	0	2016	2016
Malcolmia africana		2011	
Malcolmia flexuosa		2019	
Malcolmia maritima		2011	
Malope trifida		2014	
Malus purpurea			2010
Malva arborea		2020	
Malva maroccana		2021	
Malva multiflora		2007	
Malva nicaeensis		2007	
Malva parviflora		2007	
Malva punctata		2017	
Malva sylvestris		2008	
Malva thuringiaca		2009	
Malva trimestris		2006	
Malva verticillata		2009	
Malvastrum americanum		2011	
Malvastrum coromandelianum		2019	
Manihot grahamii			2017
Marenzelleria neglecta		2012	
Marionfyfea adventor		2021	
Marumba quercus		2021	
Massylaea vermiculata			2014
Matthiola incana	0	2012	2012
Matthiola longipetala		2013	
Mauranthemum paludosum		2013	
Mauremys reevesii			2014
Mazus miquelii		2015	
Mazus pumilus	0	2014	2014
Medicago laciniata		2010	
Medicago littoralis		2015	
Medicago monspeliaca	0	2015	2015
Medicago orbicularis		2017	
Medicago scutellata		2009	
Medicago truncatula		2009	
Medicago varia		2011	
Megabalanus tintinnabulum		2011	
Megabunus diadema		2018	
Megascops kennicottii		2020	
Megastigmus spermotrophus		2020	
Melampodium montanum		2007	
Melampyrum nemorosum	0	2015	2015
Melanoides tuberculata		2016	
Melia azedarach		2021	
Melica altissima		2020	
Melilotus elegans		2019	
Melilotus infestus	0	2012	2012
Melilotus sulcatus		2009	
Melita nitida		2019	
Meloidogyne artiellia			2011
Menetus dilatatus		2013	
Mentha cervina	0	2012	2012
Mentha piperita		2007	
Mentha requienii	-2	2011	2013
Mentha villosa		2017	
Mephitis mephitis	0	2014	2014
Mercenaria mercenaria		2017	
Meretrix lyrata		2018	
Meriones unguiculatus	0	2010	2010
Merionoeda hirsuta		2013	
Mermessus trilobatus		2007	
Mesembryanthemum crystallinum		2017	
Mesembryanthemum nodiflorum		2017	
Metasequoia glyptostroboides		2013	
Microscolex phosphoreus		2015	
Milax gagates			2018
Milvago chimachima		2020	
Mimulus ringens	0	2019	2019
Mirabilis jalapa		2009	
Miscanthus sacchariflorus		2007	
Miscanthus sinensis		2007	
Misgurnus anguillicaudatus		2006	
Misgurnus mohoity		2019	
Misopates calycinum		2017	
Mnemiopsis leidyi		2008	
Modiola caroliniana		2015	
Molinia caerulea		2021	
Monarda didyma	0	2014	2014
Monetaria moneta		2010	
Monochamus galloprovincialis		2010	
Monochamus sartor		2009	
Morelia spilota			2013
Moricandia arvensis	0	2017	2017
Morimus asper		2019	
Morlina glabra		2020	
Morpho menelaus		2019	
Morus alba		2010	
Morus nigra			2014
Muehlenbeckia complexa	0	2016	2016
Mulinia lateralis	0	2019	2019
Mummenhoffia alliacea		2015	
Muntiacus reevesi		2009	
Musa basjoo	-4	2016	2020
Muscari aucheri		2021	
Muscari latifolium	4	2018	2014
Myagrum perfoliatum		2011	
Mycale micracanthoxea		2008	
Myocastor coypus			2018
Myriophyllum heterophyllum		2006	
Myzus ornatus		2016	
Nagurus cristatus	0	2015	2015
Naja melanoleuca			2020
Nandayus nenday	0	2013	2013
Narcissus bulbocodium		2019	
Narcissus cyclazetta			2011
Narcissus jonquilla		2016	
Narcissus tazetta	0	2013	2013
Narcissus triandrus		2018	
Nassella tenuissima		2008	
Natrix maura	5	2020	2015
Natrix tessellata		2020	
Navarretia squarrosa		2012	
Neillia incisa		2013	
Neillia tanakae	9	2021	2012
Nemesia caerulea		2007	
Nemophila maculata	1	2017	2016
Nemophila menziesii		2013	
Nemopsis bachei			2012
Neochmia modesta		2021	
Neochmia ruficauda		2009	
Neoclytus acuminatus		2017	
Neogobius fluviatilis	4	2019	2015
Neogobius melanostomus	0	2010	2010
Neomysis americana			2012
Neophema pulchella		2021	
Neotoxoptera formosana		2008	
Nepeta subsessilis		2019	
Nepytia phantasmaria		2012	
Nerium oleander		2016	
Neslia paniculata		2018	
Netta erythrophthalma		2021	
Nettapus auritus		2010	
Nettapus coromandelianus	0	2017	2017
Nezara viridula		2008	
Nicoletia phytophila	0	2016	2016
Nicotiana alata		2009	
Nicotiana forgetiana		2014	
Nicotiana glauca	0	2011	2011
Nicotiana langsdorffii		2015	
Nicotiana sylvestris		2007	
Nicotiana tabacum		2009	
Nigella sativa		2020	
Ninox connivens		2010	
Nonea lutea		2009	
Notobasis syriaca		2014	
Nyctereutes procyonoides			2018
Nymphaea marliacea			2020
Obama nungara	0	2017	2017
Ocimum basilicum		2016	
Ocyphaps lophotes		2012	
Odontarrhena muralis		2011	
Odontites luteus		2009	
Oecobius navus		2008	
Oedaleus decorus		2018	
Oenothera angustissima		2020	
Oenothera cambrica		2007	
Oenothera canovirens		2016	
Oenothera casimiri	0	2017	2017
Oenothera drawertii	0	2018	2018
Oenothera elata		2007	
Oenothera ersteinensis		2007	
Oenothera glazioviana		2017	
Oenothera laciniata		2021	
Oenothera lindheimeri		2009	
Oenothera moravica	0	2017	2017
Oenothera oakesiana		2010	
Oenothera oehlkersii		2007	
Oenothera paradoxa		2017	
Oenothera pycnocarpa		2007	
Oenothera royfraseri		2016	
Oenothera rubricalyx	-4	2010	2014
Oenothera rubricaulis		2007	
Oenothera rubricauloides		2017	
Oenothera speciosa	-3	2014	2017
Oenothera stricta		2017	
Oenothera suaveolens	2	2017	2015
Oenothera subterminalis		2017	
Oenothera victorinii		2007	
Oenothera villosa		2007	
Oligota parva		2012	
Olios argelasius			2011
Omphalodes verna		2012	
Oncosiphon piluliferum	0	2017	2017
Ondatra zibethicus			2018
Onopordum beckianum			2018
Onopordum tauricum	0	2014	2014
Ophiopogon jaburan	0	2018	2018
Opopanax chironium	0	2019	2019
Opsius stactogalus		2008	
Oreochromis niloticus		2008	
Orientus ishidae		2008	
Origanum onites	0	2020	2020
Origanum vulgare		2010	
Oriolus auratus	0	2017	2017
Ornithogalum boucheanum		2021	
Ornithogalum divergens		2020	
Ornithogalum narbonense		2011	
Ornithogalum pyramidale		2012	
Ornithopus compressus		2019	
Orobanche flava		2021	
Orthomorpha coarctata		2020	
Oryctolagus cuniculus			2018
Oryza sativa	0	2018	2018
Osmanthus heterophyllus		2021	
Ostrya carpinifolia		2014	
Otala lactea		2012	
Otiorhynchus indefinitus			2013
Ovis ammon			2018
Oxalis articulata		2010	
Oxalis corniculata		2017	
Oxalis debilis		2006	
Oxalis dillenii	3	2015	2012
Oxalis latifolia		2007	
Oxalis tetraphylla		2009	
Oxalis triangularis	0	2011	2011
Oxalis valdiviensis		2019	
Oxidus gracilis		2009	
Oxybasis salina		2006	
Oxycarenus lavaterae		2014	
Oxyria digyna		2020	
Oxyura vittata	0	2014	2014
Pachysandra terminalis		2007	
Pacifastacus leniusculus		2007	
Paeonia lactiflora	0	2014	2014
Paeonia officinalis		2019	
Panchlora nivea		2017	
Panicum capillare		2009	
Panicum dichotomiflorum		2007	
Panicum hillmanii		2011	
Panicum miliaceum		2006	
Panicum schinzii		2007	
Panicum virgatum		2010	
Pantherophis guttatus	-4	2006	2010
Pantherophis obsoletus			2013
Papaver atlanticum		2006	
Papaver bracteatum		2014	
Papaver cambricum		2006	
Papaver commutatum	0	2015	2015
Papaver hybridum		2017	
Papaver nudicaule	0	2014	2014
Papaver orientale		2010	
Papaver pavoninum		2021	
Papaver rhoeas		2020	
Papaver setiferum		2008	
Papaver setigerum		2020	
Papaver somniferum		2010	
Parakontikia ventrolineata		2019	
Paralaoma servilis			2014
Parapholis incurva		2010	
Paratillus carus		2015	
Parentucellia latifolia	0	2016	2016
Paronychia argentea	1	2017	2016
Parthenium hysterophorus		2013	
Parthenocissus vitacea		2008	
Parthenothrips dracaenae	2	2020	2018
Paspalum dilatatum		2017	
Paspalum distichum		2008	
Paspalum notatum		2014	
Paspalum saurae			2014
Passerina caerulea		2011	
Passerina ciris		2019	
Paulownia tomentosa		2006	
Paysandisia archon			2011
Pectinatella magnifica		2014	
Pelargonium candicans	0	2017	2017
Pelecanus conspicillatus	0	2017	2017
Pelodiscus sinensis		2020	
Pelomedusa subrufa			2020
Pelophylax ridibundus		2011	
Pelusios castaneus			2020
Penaeus aztecus			2018
Penstemon digitalis	0	2019	2019
Pentarthrum confine		2020	
Perilla frutescens		2008	
Periplaneta americana		2020	
Periplaneta australasiae		2014	
Perovskia abrotanoides	9	2019	2010
Perovskia abrotanoides x Perovskia atriplicifolia		2009	
Perovskia atriplicifolia		2018	
Persea americana	-3	2014	2017
Persicaria capitata		2009	
Persicaria filiformis		2021	
Persicaria nepalensis	0	2010	2010
Persicaria orientalis		2009	
Persicaria pensylvanica		2020	
Petasites albus		2008	
Petasites japonicus		2006	
Petrosedum sediforme	0	2013	2013
Petroselinum crispum		2007	
Petunia integrifolia		2011	
Phacelia campanularia	0	2012	2012
Phalaris aquatica		2014	
Phalaris arundinacea		2008	
Phalaris brachystachys		2016	
Phalaris minor		2009	
Phalaris paradoxa		2007	
Phalcoboenus megalopterus		2016	
Phaseolus coccineus		2013	
Phedimus aizoon		2016	
Phedimus hybridus		2008	
Phedimus kamtschaticus		2012	
Phedimus stoloniferus		2011	
Pheidole anastasii			2018
Philadelphus coronarius		2006	
Philadelphus microphyllus		2014	
Philadelphus pubescens		2010	
Philadelphus virginalis		2008	
Philaeus chrysops	5	2019	2014
Philonthus rectangulus		2014	
Phlebodium aureum		2015	
Phleum exaratum		2013	
Phleum paniculatum		2009	
Phlomis russeliana		2009	
Phlox paniculata		2012	
Phlox subulata		2009	
Phoenix dactylifera		2010	
Phoneutria boliviensis			2015
Phuopsis stylosa		2010	
Phyla nodiflora		2011	
Phyllocnistis citrella		2007	
Phyllostachys sulphurea		2012	
Phyllostachys viridiglaucescens	0	2017	2017
Physalis angulata		2009	
Physalis grisea		2017	
Physalis peruviana		2006	
Physalis philadelphica		2008	
Physalis pubescens		2017	
Physignathus cocincinus			2012
Physocarpus opulifolius		2010	
Physostegia virginiana		2007	
Phytomyza jucunda			2015
Picea omorika	0	2013	2013
Picea sitchensis			2010
Pieris japonica	-8	2010	2018
Pilea microphylla		2019	
Pilosella stoloniflora			2016
Pimephales promelas		2009	
Pimpinella peregrina		2006	
Pinus rigida		2009	
Pinus sylvestris			2020
Pinus wallichiana	1	2013	2012
Pionus menstruus		2020	
Pistia stratiotes		2007	
Pithyotettix abietinus		2014	
Pituophis catenifer			2010
Pituophis melanoleucus			2013
Placobdella ornata		2014	
Plantago afra		2011	
Plantago lagopus		2011	
Plantago sempervirens	0	2016	2016
Platalea alba		2012	
Platanus orientalis		2009	
Platycercus adscitus			2012
Platycercus elegans		2009	
Platycercus eximius		2008	
Platycercus icterotis	0	2015	2015
Platycodon grandiflorus	0	2013	2013
Plectranthus caninus		2020	
Pleurodeles waltl	0	2011	2011
Ploceus jacksoni		2009	
Ploceus melanocephalus		2009	
Poa annua		2013	
Poa infirma	0	2016	2016
Podarcis siculus		2008	
Podophyllum peltatum		2020	
Pogona henrylawsoni			2020
Pogona vitticeps			2010
Polygonum arenarium		2010	
Polygonum aviculare		2009	
Polygonum bellardii		2011	
Polypogon maritimus		2007	
Polysiphonia senticulosa		2012	
Polystichum acrostichoides	0	2019	2019
Polystichum luctuosum		2015	
Polystichum munitum	0	2019	2019
Polystichum polyblepharum	1	2014	2013
Polytelis anthopeplus	-1	2017	2018
Polytelis swainsonii	0	2017	2017
Pontastacus leptodactylus		2008	
Pontederia cordata		2007	
Ponticola kessleri	0	2012	2012
Populicerus albicans		2011	
Populus balsamifera		2015	
Populus canescens			2020
Populus jackii			2010
Portulaca grandiflora		2009	
Portulaca granulatostellulata		2016	
Portulaca sativa		2019	
Potamocorbula amurensis	1	2019	2018
Potamothrix heuscheri			2014
Potentilla argyrophylla		2018	
Potentilla inclinata		2007	
Potentilla intermedia			2020
Potentilla nepalensis	0	2010	2010
Potentilla norvegica		2018	
Potentilla recta		2009	
Potentilla rivalis		2015	
Potentilla supina		2017	
Poterium sanguisorba		2007	
Pourthiaea villosa		2010	
Prays citri		2013	
Primula denticulata	0	2016	2016
Primula florindae	0	2010	2010
Primula vulgaris		2011	
Proasellus meridianus		2012	
Procambarus acutus		2013	
Procambarus virginalis		2017	
Prokelisia marginata		2011	
Proterorhinus semilunaris	-2	2008	2010
Prunella grandiflora		2009	
Prunus armeniaca		2013	
Prunus avium		2017	
Prunus cerasifera		2008	
Prunus domestica		2012	
Prunus fruticans			2019
Prunus incisa		2019	
Prunus lusitanica		2006	
Prunus persica		2006	
Prunus serrulata		2006	
Prunus syriaca		2017	
Prunus tomentosa	0	2014	2014
Prunus virginiana		2010	
Psephellus dealbatus		2021	
Pseudagrion microcephalum			2011
Pseudemys concinna	0	2017	2017
Pseudemys nelsoni	0	2018	2018
Pseudemys rubriventris	6	2021	2015
Pseudococcus longispinus		2014	
Pseudodiaptomus marinus			2015
Pseudomuscari azureum	0	2019	2019
Pseudotsuga menziesii		2013	
Pseudoturritis turrita		2008	
Psittacula alexandri			2014
Psittacula derbiana	0	2016	2016
Psoquilla marginepunctata			2018
Psyllipsocus ramburii			2018
Ptelea trifoliata		2012	
Pteris cretica		2006	
Pteris multifida		2007	
Pteris vittata			2015
Pterocarya pterocarpa		2006	
Pteronetta hartlaubii		2016	
Pterostyrax hispidus	1	2013	2012
Pulicaria arabica		2011	
Pulmonaria longifolia		2015	
Pulmonaria mollis		2013	
Pulmonaria rubra	0	2015	2015
Pulmonaria saccharata		2012	
Pulvinaria floccifera		2011	
Pulvinaria hydrangeae		2009	
Pulvinaria regalis		2009	
Puschkinia scilloides	6	2016	2010
Pycnanthemum verticillatum		2018	
Pycnomerus sulcicollis		2021	
Pycnonotus barbatus	0	2016	2016
Pycnonotus leucotis	0	2013	2013
Pyracantha coccinea		2006	
Pyracantha fortuneana		2015	
Pyrrhura molinae		2021	
Pyrrhura perlata	0	2017	2017
Pyrus calleryana		2019	
Python molurus			2010
Python regius	7	2017	2010
Quercus frainetto		2009	
Quercus ilex	0	2011	2011
Quercus pyrenaica		2015	
Quercus suber		2019	
Quiscalus major		2008	
Quiscalus quiscula	0	2012	2012
Radix rubiginosa		2019	
Rangia cuneata		2011	
Ranunculus marginatus		2014	
Ranunculus muricatus		2008	
Ranunculus parviflorus		2011	
Ranunculus pensylvanicus	0	2012	2012
Ranunculus polyanthemophyllus		2019	
Ranunculus trilobus		2015	
Rapana venosa		2019	
Raphanus sativus		2011	
Rapistrum rugosum		2009	
Rattus norvegicus			2018
Reductoniscus costulatus	0	2015	2015
Reesa vespulae		2015	
Reseda alba		2008	
Reseda odorata		2014	
Reynoutria compacta		2011	
Reynoutria japonica		2011	
Rhagoletis cingulata		2009	
Rhagoletis completa		2016	
Rhaphiolepis loquata		2007	
Rhea americana		2018	
Rheum rhabarbarum		2006	
Rhinella marina			2010
Rhododendron luteum		2009	
Rhodotypos scandens		2017	
Rhus glabra		2013	
Rhynchophorus ferrugineus		2020	
Rhyzobius forestieri		2007	
Rhyzobius lophanthae		2019	
Rhyzopertha dominica		2017	
Ribes aureum		2008	
Ribes divaricatum	0	2010	2010
Ridolfia segetum		2009	
Rodgersia aesculifolia			2011
Rodgersia podophylla	0	2016	2016
Roemeria hybrida		2011	
Rorippa austriaca		2008	
Rosa carolina		2012	
Rosa chinensis		2011	
Rosa glauca		2006	
Rosa nitida	0	2015	2015
Rosa pendulina		2018	
Rostraria cristata		2015	
Rubus cockburnianus	0	2011	2011
Rubus fruticosus		2014	
Rubus nutkanus		2018	
Rubus odoratus		2009	
Rubus setchuenensis		2011	
Rubus tricolor		2012	
Rudbeckia fulgida		2013	
Ruditapes philippinarum		2011	
Rumex confertus		2019	
Rumex confusus			2011
Rumex crispus		2012	
Rumex cristatus	0	2011	2011
Rumex hybridus			2013
Rumex kerneri	0	2011	2011
Rumex longifolius		2012	
Rumex obovatus		2020	
Rumex obtusifolius		2012	
Rumex persicarioides		2011	
Rumex pseudonatronatus	1	2011	2010
Rumex pulcher		2015	
Rumex salicifolius		2010	
Rumex sanguineus		2010	
Rumex stenophyllus		2007	
Rupicapra rupicapra	0	2013	2013
Ruscus aculeatus		2011	
Ruta graveolens		2008	
Sabulina mediterranea		2006	
Sagina alexandrae		2014	
Sagina japonica	0	2018	2018
Sagittaria graminea		2021	
Sagittaria latifolia		2007	
Saissetia oleae		2013	
Salamandra atra	0	2017	2017
Salix acutifolia		2011	
Salix babylonica		2006	
Salix daphnoides	-12	2006	2018
Salix elaeagnos		2012	
Salix eleagnos		2011	
Salix eriocephala	-9	2009	2018
Salix euxina		2010	
Salix exigua		2013	
Salix fragilis		2009	
Salix interior		2014	
Salix irrorata		2013	
Salix myrsinifolia	1	2015	2014
Salix purpurea		2011	
Salix sepulcralis		2017	
Salix udensis			2018
Salvia hispanica	0	2014	2014
Salvia officinalis		2021	
Salvia reflexa		2006	
Salvia sclarea		2012	
Salvia splendens		2008	
Salvia uliginosa		2021	
Salvia verbenaca		2011	
Salvia viridis		2013	
Salvinia auriculata		2016	
Sambucus canadensis		2010	
Sambucus nigra		2009	
Samia cynthia		2015	
Sanicula epipactis		2021	
Santolina chamaecyparissus		2015	
Sanvitalia procumbens		2021	
Saponaria ocymoides		2010	
Sarcococca coriacea		2015	
Sarracenia purpurea		2009	
Sarracenia rubra		2009	
Sasa palmata		2010	
Sasaella ramosa		2010	
Sassafras albidum		2015	
Satureja hortensis		2014	
Satureja montana		2008	
Sauromatum venosum	4	2014	2010
Saururus cernuus		2014	
Saxifraga arendsii		2012	
Saxifraga rotundifolia		2012	
Saxifraga stolonifera		2021	
Scabiosa lucida	-3	2016	2019
Scabiosa ochroleuca	0	2015	2015
Scaevola aemula			2014
Scandix stellata			2013
Sceliphron caementarium	0	2015	2015
Sceliphron curvatum		2021	
Sceliphron destillatorium		2020	
Sceliphron spirifex		2021	
Schistocerca gregaria		2011	
Schkuhria pinnata		2009	
Schoenoplectiella bucharica	0	2014	2014
Scilla forbesii		2013	
Scilla forbesii × luciliae		2009	
Scilla luciliae		2010	
Scilla sardensis		2009	
Scilla siberica		2010	
Scirpus atrovirens		2008	
Scirpus cyperinus	0	2018	2018
Scirpus georgianus		2016	
Scirtothrips longipennis			2018
Sciurus niger	0	2014	2014
Scolymus hispanicus		2020	
Scrophularia canina	0	2019	2019
Scrophularia nodosa		2010	
Scrophularia peregrina			2020
Scutellaria altissima		2013	
Scutellaria columnae		2017	
Sedum cepaea		2019	
Sedum dasyphyllum		2018	
Sedum hispanicum		2013	
Sedum lydium		2016	
Sedum mexicanum		2020	
Sedum pallidum		2013	
Sedum palmeri	0	2018	2018
Sedum sarmentosum		2008	
Sedum spathulifolium	0	2019	2019
Selaginella kraussiana		2009	
Semiarundinaria fastuosa	0	2015	2015
Sempervivum arachnoideum		2020	
Sempervivum tectorum		2009	
Senecio sarracenicus		2006	
Senna obtusifolia		2006	
Sequoiadendron giganteum		2020	
Sesbania herbacea		2016	
Setaria faberi		2006	
Setaria parviflora		2008	
Setaria viridis		2011	
Shinnersia rivularis		2019	
Sibbaldia tridentata		2018	
Sibine stimulea		2018	
Sicyos angulatus		2015	
Sida rhombifolia		2007	
Sida spinosa		2013	
Sidalcea oregana		2016	
Sideritis montana		2011	
Sigesbeckia jorullensis		2020	
Silene baccifera		2020	
Silene chalcedonica		2010	
Silene conoidea		2011	
Silene gallica		2006	
Silene italica		2007	
Silene pendula		2019	
Silene schafta		2013	
Silene stricta		2011	
Silene uniflora		2017	
Silphium perfoliatum		2016	
Sinanodonta woodiana		2009	
Sinomalus baccata		2007	
Sinomalus sieboldii		2011	
Siren intermedia			2014
Sisymbrium erysimoides		2019	
Sisymbrium volgense		2011	
Sisyrinchium angustifolium		2021	
Sisyrinchium californicum	0	2015	2015
Sisyrinchium montanum		2008	
Sisyrinchium striatum	0	2016	2016
